category,rating,label,text_,gen_model
Toys_and_Games_5,3.0,CG,The set was good but lacked detailed instructions—perfect for beginners.,lfm2.5-350m
Movies_and_TV_5,5.0,CG,This series delivers top-notch storytelling and stellar performances—perfect for fans of classic drama!,lfm2.5-350m
Movies_and_TV_5,4.0,CG,The animation was stunning but the story felt rushed—perfect for kids but didn’t add depth.,lfm2.5-350m
Pet_Supplies_5,1.0,CG,"Bought a decent option, but the fill rate was low and the taste didn't meet expectations.",lfm2.5-350m
Books_5,4.0,CG,"The story was engaging but felt rushed; it lacked depth and pacing, making it hard to stay invested.",lfm2.5-350m
Movies_and_TV_5,5.0,CG,"The documentary was deeply moving and beautifully shot, leaving me eager to watch more. Highly recommended!",lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,2.0,CG,"The shoes were comfortable but lacked adequate support for longer runs. Paired well with sneakers, but not ideal for my active lifestyle.",lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,4.0,CG,The handbag was stylish but clung slightly to my feet after wearing for a few days. It kept my hands free but lacked durability.,lfm2.5-350m
Pet_Supplies_5,4.0,CG,"Great taste and balanced nutrition, but the packaging looked worn.",lfm2.5-350m
Movies_and_TV_5,5.0,CG,Great film—still as compelling as ever! Perfect for nostalgic viewers.,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,"The watch is sleek, comfortable, and fits well—perfect for staying on track during workouts. Highly recommended!",lfm2.5-350m
Books_5,3.0,CG,"The story is engaging but the illustrations feel a bit dated. Great plot, but could use more visual appeal.",lfm2.5-350m
Home_and_Kitchen_5,2.0,CG,Not what I expected—sturdy but feels a bit too smooth. Would recommend if durability matters more than comfort.,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,"Love this stylish handbag—it’s sleek, comfortable, and adds a touch of elegance to any outfit. Highly recommend!",lfm2.5-350m
Kindle_Store_5,4.0,CG,"The story in a beautifully illustrated book was engaging and well-written, though the pacing felt a bit slow. Highly recommend for fans of short fiction!",lfm2.5-350m
Tools_and_Home_Improvement_5,5.0,CG,"I purchased this set at a great price—perfect for tight jobs! It’s durable, handles hardwood well, and fits my needs exactly. Highly recommend!",lfm2.5-350m
Movies_and_TV_5,3.0,CG,This documentary was clear but lacked depth. It felt like a rushed summary without valuable insights.,lfm2.5-350m
Kindle_Store_5,3.0,CG,The mystery was intriguing but the book felt underwhelmingly simple. Not recommended for readers seeking deeper storytelling.,lfm2.5-350m
Sports_and_Outdoors_5,3.0,CG,"This pump is decent, but battery life is short and lid cluttered with metal parts—likely a missed opportunity.",lfm2.5-350m
Kindle_Store_5,5.0,CG,"The story was gripping, character development was stellar, and the pacing kept me engaged. Highly recommend for fans of romance!",lfm2.5-350m
Books_5,5.0,CG,Love this history book—it’s packed with stunning photos and clear explanations that make complex periods feel accessible. Highly recommend!,lfm2.5-350m
Kindle_Store_5,5.0,CG,"The mystery novel was engaging, with a gripping plot and well-written characters—perfect for a quick read. Highly recommended!",lfm2.5-350m
Tools_and_Home_Improvement_5,5.0,CG,"The rollers delivered vibrant colors without warping. They worked seamlessly with all paints and finishes, making setup quick and easy. Highly recommend for any project!",lfm2.5-350m
Electronics_5,5.0,CG,"The webcam is sleek and brightly lit, with smooth audio and fast performance—perfect for capturing clear footage. Highly recommend for anyone needing reliable outdoor monitoring!",lfm2.5-350m
Kindle_Store_5,5.0,CG,Perfectly crafted! The story was engaging and beautifully written—highly recommend!,lfm2.5-350m
Movies_and_TV_5,5.0,CG,Perfectly timeless film—watched with great nostalgia and appreciated its depth. Highly recommended!,lfm2.5-350m
Pet_Supplies_5,2.0,CG,"The leash is sturdy but lacks adequate paw cushion, making it uncomfortable during long walks.",lfm2.5-350m
Tools_and_Home_Improvement_5,4.0,CG,Love the quality tools—sturdy and reliable for chopping and tightening stuff. Perfect purchase!,lfm2.5-350m
Home_and_Kitchen_5,5.0,CG,Love these storage containers! They fit perfectly in my cabinets and keep my fridge organized. Highly recommend!,lfm2.5-350m
Electronics_5,5.0,CG,The webcam has crystal-clear video quality and smooth performance—perfect for home use. Highly recommend!,lfm2.5-350m
Electronics_5,5.0,CG,"Love this power bank! It lasted 8 hours with my phone and battery charger, and kept my charger fully charged without overheating. Highly recommend!",lfm2.5-350m
Tools_and_Home_Improvement_5,5.0,CG,"The tape measure has been a reliable companion for years, measuring everything from backyard plants to furniture. It’s sturdy, accurate, and fits every part of my setup seamlessly. Highly recommend!",lfm2.5-350m
Books_5,5.0,CG,Perfectly researched and engaging – loved the stories and characters! Highly recommend.,lfm2.5-350m
Tools_and_Home_Improvement_5,5.0,CG,Great quality screws – reliable and easy to install. Highly recommend for any DIY project!,lfm2.5-350m
Movies_and_TV_5,3.0,CG,Made it home at home with the quality. Just a minor inconvenience for the price.,lfm2.5-350m
Movies_and_TV_5,1.0,CG,"This was a mediocre experience, the film felt outdated and lacked any redeeming qualities.",lfm2.5-350m
Toys_and_Games_5,5.0,CG,"The set was well-balanced, bright, and included a variety of colorful toys. Highly recommend for kids!",lfm2.5-350m
Movies_and_TV_5,5.0,CG,"The documentary was visually stunning and delivered a clear, engaging story. It made the complex topic easy to understand with concise, insightful content.",lfm2.5-350m
Sports_and_Outdoors_5,4.0,CG,"This water bottle is durable and holds drinks well, but the price per ounce is a bit high compared to other brands. Overall, it’s a solid purchase for hydration.",lfm2.5-350m
Books_5,2.0,CG,"This book was a bit dense but helpful. The author made great points on stress management and mindset shifts, though some sections felt rushed. Overall, a moderate effort with room for improvement.",lfm2.5-350m
Home_and_Kitchen_5,5.0,CG,Love the heat retention and durability—perfect for everyday cooking. Highly recommend!,lfm2.5-350m
Home_and_Kitchen_5,5.0,CG,Perfectly cleaned and dust-free—great value for the price! Highly recommend.,lfm2.5-350m
Kindle_Store_5,5.0,CG,Love this book! The story was engaging and packed with amazing fantasy twists. Perfect for fans of epic adventures!,lfm2.5-350m
Movies_and_TV_5,5.0,CG,"The film was gripping, with stellar performances and a strong storyline that left me wanting more. Highly recommend!",lfm2.5-350m
Toys_and_Games_5,4.0,CG,"The puzzle was fun to solve with just one piece, but the instructions were unclear—best of luck with your next adventure!",lfm2.5-350m
Pet_Supplies_5,2.0,CG,"The brush is affordable and effective, but the bristles feel stiff and won't cut effectively. Overall, solid purchase.",lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,4.0,CG,"The bag stayed put and was a solid choice for travel. Sleek but not overly bulky, perfect for everyday wear.",lfm2.5-350m
Books_5,5.0,CG,"The story was engaging and well-written, with a gripping plot that kept me hooked throughout. Highly recommend for fans of thrilling narratives!",lfm2.5-350m
Pet_Supplies_5,1.0,CG,Not what I expected. Small amounts and no added value.,lfm2.5-350m
Sports_and_Outdoors_5,4.0,CG,The tent arrived quickly but lacked proper ventilation—good enough for basic use.,lfm2.5-350m
Tools_and_Home_Improvement_5,1.0,CG,This ladder is basic and barely holds anything. It took too long to install.,lfm2.5-350m
Pet_Supplies_5,5.0,CG,"The cat toy was cozy and sturdy, making it perfect for little paws. Highly recommended!",lfm2.5-350m
Movies_and_TV_5,5.0,CG,"The film was gripping, visually stunning, and stayed with me long after the credits rolled. Highly recommended!",lfm2.5-350m
Home_and_Kitchen_5,5.0,CG,"The vacuum delivers crisp suction and smooth cleaning, making it perfect for dusting and deep cleaning surfaces. Highly recommended!",lfm2.5-350m
