i,j,sim,split_i,split_j,label_i,label_j,text_i,text_j
3422,22993,1.0000,train,train,CG,CG,"<div id=""video-block-R2T9A7CAKJREXV"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/B9o4pS7U6I. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz","<div id=""video-block-R330E3EUEZ5Y5G"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1o4pS7g6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz"
4344,4735,1.0000,train,test,CG,CG,"It does the job but it takes a lot of practice.

The only reason I gave it","It does the job but it takes a lot of practice.

The only reason I gave it"
6018,6025,1.0000,test,train,CG,CG,"This is a really good starter kit, with lots of tools and a lot of options. The other two I had to replace, both with different basic tools, were great.","This is a really good starter kit, with lots of tools and a lot of options. The other two I had to replace, both with different basic tools, were great."
6706,6708,1.0000,train,test,CG,CG,"Great, no complaints. Comfortable, phone fits in the pocket, comfortable, it fits my thumb well.  I highly recommend.  The plastic part is also very light and easy to take off and on.  I would highly recommend this product.I use this as a hiking pack.  The first time I used","Great, no complaints. Comfortable, phone fits in the pocket, comfortable, it fits my thumb well.  I highly recommend.  The plastic part is also very light and easy to take off and on.  I would highly recommend this product.I use this as a hiking pack.  The first time I used"
6878,22993,1.0000,val,train,CG,CG,"<div id=""video-block-R3MACS6WP225SQ"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon.","<div id=""video-block-R330E3EUEZ5Y5G"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1o4pS7g6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz"
7566,7575,1.0000,val,test,CG,CG,"<div id=""video-block-ROMIG59BRPAHX"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/B1o4pS7r6S.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.co","<div id=""video-block-RFSBG1YPR3MRI"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/B1o4pS7r6S.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.co"
11721,22993,1.0000,train,train,CG,CG,"<div id=""video-block-R3AX61BXTBEARI"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/B1oEpS7W6I. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz","<div id=""video-block-R330E3EUEZ5Y5G"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1o4pS7g6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz"
11956,22993,1.0000,train,train,CG,CG,"<div id=""video-block-R1TWZK14HQADKC"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/B1oEpS7W6I. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz","<div id=""video-block-R330E3EUEZ5Y5G"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1o4pS7g6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz"
11958,22063,1.0000,test,train,CG,CG,"<div id=""video-block-RWOK1Y3WFP2O7"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/B1oEpS7W6I.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.co","<div id=""video-block-R3EQPDHS0DMN5Q"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images"
12289,12548,1.0000,train,test,CG,CG,One of the best movies of the year.  Not for everyone.  But I was pretty impressed,One of the best movies of the year.  Not for everyone.  But I was pretty impressed
12448,12769,1.0000,test,train,CG,CG,It was a good movie. I liked the movie. The plot was predictable.,It was a good movie. I liked the movie. The plot was predictable.
13636,13650,1.0000,train,train,CG,CG,"I have loved this movie, it is an interesting and good history.

The movie has a lot of heart and is very informative.  The music is great.  The movie is very well","I have loved this movie, it is an interesting and good history.

The movie has a lot of heart and is very informative.  The music is great.  The movie is very well"
16100,16443,1.0000,train,train,CG,CG,This is a very sturdy saw. The only problem is that it comes with a small screw driver.,"This is a very sturdy saw. The only problem is that it comes with a small screw driver.
"
19803,20242,1.0000,train,train,CG,CG,My dog loves it and it has kept her occupied for a long time.  She does not chase,My dog loves it and it has kept her occupied for a long time.  She does not chase
21299,21398,1.0000,test,train,CG,CG,I got this for my dog.  It's a good size and my dog loves it.  It's not the best for a small dog but the dog loves it. ,I got this for my dog. It's a good size and my dog loves it. It's not the best for a small dog but the dog loves it.
22294,22305,1.0000,train,train,OR,OR,Got these to give to my 8 mth old chihuahua who was diagnosed with elbow dysplasia.  She was limping for a short while but after taking these supplements for last few weeks the limp is less and less noticeable.  I've given my other chihuahua a 1/2 dose every day as well for preventative care.  They ,Got these to give to my 8 mth old chihuahua who was diagnosed with elbow dysplasia.  She was limping for a short while but after taking these supplements for last few weeks the limp is less and less noticeable.  I've given my other chihuahua a 1/2 dose every day as well for preventative care.  They 
23054,23102,1.0000,train,train,CG,CG,"<div id=""video-block-R30QZ6G2Y1IMAI"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1o4pS7g6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz","<div id=""video-block-R25CCUOF8KFT72"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1o4pS7g6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz"
23102,23148,1.0000,train,train,CG,CG,"<div id=""video-block-R25CCUOF8KFT72"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1o4pS7g6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz","<div id=""video-block-R3FJI1U3RUJ23I"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1o4pS7g6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz"
